Component  CicHimsAssay  CicLimsAssay  Cic43101HimsAssay  Cic43101LimsAssay  Cic43101TotalAssay  Cic43101ConcAssay
Al2O3[S1]  0.01160       0.01550       0.00941            0.00008            0.01315             0.01310
CaO[S]     0.00022       0.00001       0.00017            0.00015            0.00016             0.00040
Cr2O3[S]   0.00008       0.00022       0.00011            0.00026            0.00019             0.00040
Fe2O3[S1]  0.20200       0.47300       0.49674            0.68295            0.58557             0.59147
Fe3O4[S1]  0.00000       0.00000       0.00000            0.00000            0.00000             0.00000
FeO[S1]    0.27900       0.19100       0.00000            0.00000            0.00000             0.00000
K2O[S]     0.00004       0.00001       0.00005            0.00003            0.00004             0.00010
MgO[S]     0.01040       0.00580       0.01090            0.00611            0.00847             0.00810
MnO[S]     0.00540       0.00480       0.00525            0.00499            0.00508             0.00520
Na2O[S1]   0.00007       0.00005       0.00031            0.00032            0.00031             0.00020
P4O10[S]   0.00001       0.00032       0.00015            0.00029            0.00021             0.00022
SiO2[S1]   0.00850       0.00490       0.01744            0.00876            0.01295             0.01180
TiO2[S1]   0.47700       0.29400       0.45949            0.29606            0.37388             0.36900
V2O5[S]    0.00360       0.00800       0.00000            0.00000            0.00000             0.00000
