Material Name,Air
Description,Thermophysical properties of air at 1 atm pressure.
Reference,lienhard2015
Temperature,Density,Heat Capacity,Dynamic Viscosity,Kinematic Viscosity,Thermal Conductivity,Thermal Diffusivity,Prandtl Number
T,\rho,C_p,\mu,\nu,k,\alpha,Pr
K,kg/m3,J/kg/K,kg/m/s,m2/s,W/m/K,m2/s,None
T,rho,Cp,mu,nu,k,alpha,Pr
100,3.605,1039,7.11E-06,1.97E-06,0.00941,2.51E-06,0.784
150,2.368,1012,1.04E-05,4.37E-06,0.01406,5.87E-06,0.745
200,1.769,1007,1.33E-05,7.54E-06,0.01836,1.03E-05,0.731
250,1.412,1006,1.61E-05,1.14E-05,0.02241,1.58E-05,0.721
260,1.358,1006,1.65E-05,1.21E-05,0.02329,1.71E-05,0.712
270,1.308,1006,1.70E-05,1.30E-05,0.024,1.82E-05,0.712
280,1.261,1006,1.75E-05,1.39E-05,0.02473,1.88E-05,0.711
290,1.217,1006,1.80E-05,1.48E-05,0.02544,2.08E-05,0.71
300,1.177,1007,1.86E-05,1.58E-05,0.02623,2.21E-05,0.713
310,1.139,1007,1.89E-05,1.66E-05,0.02684,2.34E-05,0.709
320,1.103,1008,1.94E-05,1.75E-05,0.02753,2.48E-05,0.708
330,1.07,1008,1.98E-05,1.85E-05,0.02821,2.62E-05,0.708
340,1.038,1009,2.03E-05,1.95E-05,0.02888,2.82E-05,0.707
350,1.008,1009,2.09E-05,2.07E-05,0.02984,2.93E-05,0.707
400,0.8821,1014,2.31E-05,2.62E-05,0.03328,3.72E-05,0.704
450,0.784,1021,2.52E-05,3.21E-05,0.03656,4.57E-05,0.703
500,0.7056,1030,2.71E-05,3.85E-05,0.03971,5.46E-05,0.704
550,0.6414,1040,2.90E-05,4.52E-05,0.04277,6.41E-05,0.706
600,0.588,1051,3.08E-05,5.24E-05,0.04573,7.40E-05,0.708
650,0.5427,1063,3.26E-05,6.00E-05,0.04863,8.43E-05,0.712
700,0.504,1075,3.43E-05,6.80E-05,0.05146,9.50E-05,0.715
750,0.4704,1087,3.59E-05,7.62E-05,0.05425,1.06E-04,0.719
800,0.441,1099,3.75E-05,8.50E-05,0.05699,1.18E-04,0.723
850,0.415,1110,3.90E-05,9.40E-05,0.05969,1.30E-04,0.725
900,0.392,1121,4.05E-05,1.03E-04,0.06237,1.42E-04,0.728
950,0.3716,1131,4.20E-05,1.13E-04,0.06501,1.55E-04,0.731
1000,0.3528,1142,4.34E-05,1.23E-04,0.06763,1.68E-04,0.733
1100,0.3207,1159,4.62E-05,1.44E-04,0.07281,1.96E-04,0.736
1200,0.294,1175,4.89E-05,1.66E-04,0.07792,2.26E-04,0.738
1300,0.2714,1189,5.15E-05,1.90E-04,0.08297,2.57E-04,0.738
1400,0.252,1201,5.40E-05,2.14E-04,0.08798,2.91E-04,0.738
1500,0.2352,1211,5.65E-05,2.40E-04,0.09296,3.26E-04,0.735
